ω,z,E,p,grid_points,grid_size,L,t_failed,worked?
1.66,0.21,10,0.331,50,3,2,2.0,True
0.99,0.01,100,0.765,50,2,2,2.0,True
1.17,0.136,10,0.103,50,2,2,2.0,True
2.33,0.024,100,0.056,50,2,2,2.0,True
2.33,0.024,100,0.316,50,2,2,2.0,True
2.5,0.5,10,0.06,50,2,2,2.0,True
5.37,0.057,100,0.472,50,2,2,2.0,True
16.57,0.21,100,0.395,50,3,2,2.0,True
25.0,0.5,100,0.25,60,3,2,2.0,True
21.89,0.324,100,2.971,50,3,2,2.0,True
0.99,0.01,100,0.495,50,2,2,2.0,True
21.89,0.324,100,1.246,50,3,2,2.0,True
21.89,0.324,100,0.219,50,2,2,2.0,True
0.8,0.088,10,0.019,50,2,2,2.0,True
16.57,0.21,100,0.256,60,3,2,2.0,True
0.8,0.088,10,0.07,50,2,2,2.0,True
1.66,0.21,10,0.061,50,2,2,2.0,True
16.57,0.21,100,1.456,50,2,2,2.0,True
16.57,0.21,100,1.456,60,3,2,2.0,True
5.37,0.057,100,1.125,50,2,2,2.0,True
2.5,0.5,10,0.339,50,2,2,2.0,True
1.66,0.21,10,0.225,50,2,2,2.0,True
0.54,0.057,10,0.005,50,2,2,2.0,True
1.17,0.136,10,0.018,50,2,2,2.0,True
1.17,0.136,10,0.043,50,2,2,2.0,True
11.73,0.136,100,1.031,50,2,2,2.0,True
2.33,0.024,100,0.488,50,2,2,2.0,True
0.54,0.057,10,0.174,50,2,2,2.0,True
8.02,0.088,100,0.704,60,3,2,2.0,True
25.0,0.5,100,1.422,60,3,2,2.0,True
3.55,0.037,100,0.085,50,2,2,2.0,True
1.52,0.015,100,0.134,50,2,2,2.0,True
0.99,0.01,100,0.087,50,2,2,2.0,True
5.37,0.057,100,1.737,50,2,2,2.0,True
25.0,0.5,100,12.5,50,2,2,2.0,True
8.02,0.088,100,0.295,50,2,2,2.0,True
0.23,0.024,10,0.075,50,2,2,2.0,True
5.37,0.057,100,0.472,60,3,2,2.0,True
16.57,0.21,100,5.364,50,2,2,2.0,True
25.0,0.5,100,3.393,50,2,2,2.0,True
1.66,0.21,10,0.536,50,2,2,2.0,True
21.89,0.324,100,7.088,50,2,2,2.0,True
0.8,0.088,10,0.401,50,2,2,2.0,True
16.57,0.21,100,5.364,50,3,2,2.0,True
11.73,0.136,100,1.031,60,3,2,2.0,True
2.19,0.324,10,0.297,50,2,2,2.0,True
0.54,0.057,10,0.073,50,2,2,2.0,True
