p,z,L,E,ω,grid_points,grid_size,finite_Nc1,large_Nc1,true_Nc1,finite_Nc2,large_Nc2,largeNc/finiteNc1,largeNc/finiteNc2,error,time
0.4,0.3,0.5,10,2.1,30,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:16.351080000
0.4,0.3,0.5,10,2.1,40,3,(0.503-0.104j),(0.503-0.104j),(0.492-0.09j),(1.295-0.266j),(1.294-0.268j),1.0,1.01,0.035,0 days 00:01:54.065417
0.4,0.3,0.5,10,2.1,50,3,(0.503-0.098j),(0.502-0.099j),(0.492-0.09j),(1.302-0.249j),(1.301-0.25j),1.0,1.01,0.026,0 days 00:06:11.811591
0.4,0.3,0.5,10,2.1,60,3,(0.5-0.096j),(0.5-0.096j),(0.492-0.09j),(1.291-0.239j),(1.29-0.241j),1.0,1.01,0.019,0 days 00:20:28.390630
0.4,0.3,0.5,10,2.1,70,3,(0.499-0.094j),(0.499-0.094j),(0.492-0.09j),(1.289-0.23j),(1.288-0.232j),1.0,1.01,0.015,0 days 00:48:59.642569
0.4,0.3,0.5,10,2.1,80,3,(0.499-0.093j),(0.498-0.093j),(0.492-0.09j),(1.288-0.227j),(1.286-0.228j),1.0,1.01,0.013,0 days 01:56:40.701683
0.00989999999999999,0.009999999999999995,2.0,100,0.99,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:50.428279
0.015290075838969137,0.009999999999999995,2.0,100,0.99,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:42.792655
0.02361478981428566,0.009999999999999995,2.0,100,0.99,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:39.975565
0.036471911836539785,0.009999999999999995,2.0,100,0.99,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:39.282579
0.056329121007362634,0.009999999999999995,2.0,100,0.99,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:39.322044
0.08699762950960054,0.009999999999999995,2.0,100,0.99,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:40.669096
0.13436367202144772,0.009999999999999995,2.0,100,0.99,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:39.757925
0.2075182560818499,0.009999999999999995,2.0,100,0.99,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:39.299890
0.32050200742041485,0.009999999999999995,2.0,100,0.99,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:41.799624
0.4949999999999998,0.009999999999999995,2.0,100,0.99,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:39.754477
0.015205987819016447,0.015444521049463785,2.0,100,1.52,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:43.475272
0.02348491989486896,0.015444521049463785,2.0,100,1.52,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:46.810618
0.036271333966127466,0.015444521049463785,2.0,100,1.52,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:45.488931
0.01,0.01,2.0,100,0.99,50,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:03:07.416592
0.015,0.01,2.0,100,0.99,50,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:02:54.966041
