p,theta,z,L,E,ω,grid_points,grid_size,finite_Nc1,large_Nc1,true_Nc1,finite_Nc2,large_Nc2,diag_Nc2,true_Nc2_diag,largeNc/finiteNc1,largeNc/finiteNc2,diagNc/finiteNc2,error1,error2,time
0.001,0.01,0.01,2.0,10,0.1,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:27.540931
0.02,0.2,0.01,2.0,10,0.1,50,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:57.749688
0.02,0.2,0.01,2.0,10,0.1,60,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:01:43.351129
0.02,0.2,0.01,2.0,10,0.1,40,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:29.296758
0.02,0.2,0.01,2.0,10,0.1,30,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:09.686098
0.02,0.2,0.01,2.0,10,0.1,60,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:01:45.131175
0.049,0.49,0.01,2.0,10,0.1,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:17.883206
0.002,0.013,0.015,2.0,10,0.15,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:23.955536
0.03,0.2,0.015,2.0,10,0.15,50,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:01:31.289054
0.03,0.2,0.015,2.0,10,0.15,60,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:06:46.763016
0.03,0.2,0.015,2.0,10,0.15,40,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:27.160535
0.03,0.2,0.015,2.0,10,0.15,30,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:04.567791
0.03,0.2,0.015,2.0,10,0.15,60,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:07:37.876493
0.076,0.507,0.015,2.0,10,0.15,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:24.650824
0.002,0.009,0.024,2.0,10,0.23,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:28.933359
0.02,0.088,0.024,2.0,10,0.23,50,2,(0.064-0.412j),-0.001j,-0j,(0.79-4.003j),(0.789-4.002j),(0.789-4.002j),(0.735-3.449j),0.01,1.0,0.99,0.181,0.133,0 days 01:31:46.071744
0.032,0.136,0.024,2.0,10,0.23,50,2,(0.065-0.412j),(0.001-0.001j),(0.001-0.001j),(0.79-4.004j),(0.789-4.003j),(0.789-4.003j),(0.735-3.45j),0.02,1.0,1.0,0.182,0.133,0 days 01:30:36.831586
0.047,0.204,0.024,2.0,10,0.23,50,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:02:08.677433
0.047,0.204,0.024,2.0,10,0.23,60,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:27:20.959890
0.047,0.204,0.024,2.0,10,0.23,40,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:31.193699
0.047,0.204,0.024,2.0,10,0.23,30,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:05.132525
0.047,0.204,0.024,2.0,10,0.23,60,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:28:11.746614
0.049,0.21,0.024,2.0,10,0.23,50,2,(0.066-0.414j),(0.002-0.003j),(0.002-0.003j),(0.79-4.006j),(0.789-4.005j),(0.789-4.005j),(0.735-3.452j),0.04,1.0,1.0,0.183,0.133,0 days 01:29:52.113232
0.075,0.324,0.024,2.0,10,0.23,50,2,(0.069-0.419j),(0.006-0.008j),(0.004-0.006j),(0.79-4.01j),(0.789-4.009j),(0.789-4.009j),(0.735-3.457j),0.08,1.0,1.0,0.185,0.133,0 days 01:33:52.515156
