p,theta,z,L,E,ω,grid_points,grid_size,finite_Nc1,large_Nc1,true_Nc1,finite_Nc2,large_Nc2,diag_Nc2,true_Nc2_diag,largeNc/finiteNc1,largeNc/finiteNc2,diagNc/finiteNc2,error1,error2,time
0.001,0.01,0.01,2.0,10,0.1,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:27.540931
0.02,0.2,0.01,2.0,10,0.1,50,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:57.749688
0.02,0.2,0.01,2.0,10,0.1,60,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:01:43.351129
0.02,0.2,0.01,2.0,10,0.1,40,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:29.296758
0.02,0.2,0.01,2.0,10,0.1,30,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:09.686098
0.02,0.2,0.01,2.0,10,0.1,60,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:01:45.131175
0.049,0.49,0.01,2.0,10,0.1,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:17.883206
0.002,0.013000000000000001,0.015,2.0,10,0.15,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:23.955536
0.03,0.2,0.015,2.0,10,0.15,50,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:01:31.289054
0.03,0.2,0.015,2.0,10,0.15,60,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:06:46.763016
0.03,0.2,0.015,2.0,10,0.15,40,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:27.160535
0.03,0.2,0.015,2.0,10,0.15,30,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:04.567791
0.03,0.2,0.015,2.0,10,0.15,60,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:07:37.876493
0.076,0.507,0.015,2.0,10,0.15,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:24.650824
0.002,0.009000000000000001,0.024,2.0,10,0.23,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:28.933359
0.047,0.204,0.024,2.0,10,0.23,50,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:02:08.677433
0.047,0.204,0.024,2.0,10,0.23,60,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:27:20.959890
0.047,0.204,0.024,2.0,10,0.23,40,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:31.193699
0.047,0.204,0.024,2.0,10,0.23,30,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:05.132525
0.047,0.204,0.024,2.0,10,0.23,60,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:28:11.746614
0.11599999999999999,0.504,0.024,2.0,10,0.23,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:29.433908
0.004,0.011000000000000001,0.037000000000000005,2.0,10,0.35,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:31.527742
0.071,0.203,0.037000000000000005,2.0,10,0.35,60,3,(0.106-0.537j),(0.007-0.01j),(0.006-0.008j),(1.311-5.336j),(1.307-5.333j),(1.307-5.333j),(0.006-0.008j),0.07,1.0,0.99,0.182,0.998,0 days 02:06:49.416354
0.071,0.203,0.037000000000000005,2.0,10,0.35,30,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:05.489987
0.071,0.203,0.037000000000000005,2.0,10,0.35,40,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:36.453470
0.071,0.203,0.037000000000000005,2.0,10,0.35,50,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:02:36.270248
